State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
10,001,0002,44201,1,38.986672,-75.5568,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5872,97,Y,237,245,0,0,2,2,Certified,0,0.043186,0.009644,0.073,2021-06-05T10:00:00Z,0.071,2021-07-28T11:00:00Z,0.07,2021-05-22T11:00:00Z,0.067,2021-07-21T10:00:00Z,NA,NA,NA,NA,0.07,0.067,0.06,0.056,0.049,0.043,0.036,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,NA,"Dover, DE",2022-07-15
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,NA,2021,Micrograms/cubic meter (LC),No Events,359,98,Y,359,365,0,0,0,0,Certified,0,7.387465,3.652578,31.7,2021-07-21T00:00:00Z,30,2021-07-20T00:00:00Z,22.7,2021-02-10T00:00:00Z,18.8,2021-07-27T00:00:00Z,NA,NA,NA,NA,18.8,16.5,14.4,11.5,8.9,6.5,4,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,NA,"Dover, DE",2022-08-31
10,001,0003,88101,1,39.155,-75.518056,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,80,0,0,Certified - QA issues identified,0,5.461905,2.717509,14.1,2021-03-11T00:00:00Z,12.5,2021-02-21T00:00:00Z,10,2021-02-15T00:00:00Z,9.6,2021-12-09T00:00:00Z,NA,NA,NA,NA,14.1,14.1,10,9.5,6.6,4.9,2.9,PLATFORM IN FIELD BEHIND DELAWARE FED. CREDIT UNION BLDG,WATER ST. DOVER,Delaware,Kent,Dover,"Dover, DE",2022-08-18
10,003,1003,88101,1,39.761111,-75.491944,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,82,67,N,82,122,0,40,0,0,Certified - QA issues identified,0,6.740244,4.344568,30.8,2021-07-21T00:00:00Z,18.8,2021-07-27T00:00:00Z,16,2021-07-06T00:00:00Z,15.3,2021-03-11T00:00:00Z,NA,NA,NA,NA,30.8,18.8,15,10.8,8.2,5.9,2.5,Bellefonte River Road Park,"RIVER ROAD PARK, BELLEFONTE",Delaware,New Castle,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-18
10,003,1007,44201,1,39.5513,-75.732,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4997,83,Y,204,245,0,0,1,1,Certified,0,0.042299,0.009697,0.071,2021-05-19T11:00:00Z,0.065,2021-05-22T10:00:00Z,0.064,2021-04-27T12:00:00Z,0.063,2021-05-18T11:00:00Z,NA,NA,NA,NA,0.064,0.063,0.059,0.055,0.048,0.042,0.035,Lums Pond,LUMS POND STATE PARK,Delaware,New Castle,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-30
10,003,1007,88101,1,39.5513,-75.732,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,89,73,N,89,122,0,33,0,0,Certified,0,7.239326,4.312314,30,2021-07-21T00:00:00Z,20.2,2021-01-13T00:00:00Z,18.1,2021-07-27T00:00:00Z,16,2021-07-06T00:00:00Z,NA,NA,NA,NA,30,20.2,14.6,12.4,8.5,6.5,3.4,Lums Pond,LUMS POND STATE PARK,Delaware,New Castle,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-18
10,003,1008,88101,3,39.57768,-75.6036,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,NA,2021,Micrograms/cubic meter (LC),No Events,336,92,Y,336,365,0,0,1,1,Certified,0,7.852976,4.493238,43.3,2021-07-20T00:00:00Z,31.7,2021-07-21T00:00:00Z,26.2,2021-01-12T00:00:00Z,25.1,2021-01-14T00:00:00Z,NA,NA,NA,NA,25.1,21.9,16.2,12.9,9.2,6.8,4,Route 9 Delaware City,"ROUTE 9, DELAWARE CITY",Delaware,New Castle,Delaware City,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-31
10,003,1010,44201,1,39.817222,-75.563889,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,5152,87,Y,214,245,0,0,1,1,Certified,0,0.042168,0.010386,0.072,2021-06-05T12:00:00Z,0.067,2021-05-19T14:00:00Z,0.067,2021-06-18T10:00:00Z,0.065,2021-08-25T10:00:00Z,NA,NA,NA,NA,0.067,0.064,0.06,0.056,0.049,0.043,0.035,BCSP,BRANDYWINE CREEK STATE PARK,Delaware,New Castle,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-07-15
10,003,1012,88101,1,39.691962,-75.761299,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,0,0,Certified,0,7.332727,4.089438,29.7,2021-07-21T00:00:00Z,20.9,2021-01-13T00:00:00Z,17.5,2021-02-21T00:00:00Z,16.6,2021-07-27T00:00:00Z,NA,NA,NA,NA,20.9,17.5,15.2,12.3,8.6,6.7,3.7,Newark  PARKING LOT LAIRD CAMPUS,UNIV. DE NORTH CAMPUS,Delaware,New Castle,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-18
10,003,1013,44201,1,39.773889,-75.496389,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,6139,98,Y,239,245,0,0,1,1,Certified,0,0.042167,0.010833,0.073,2021-06-05T12:00:00Z,0.067,2021-05-19T13:00:00Z,0.067,2021-06-18T11:00:00Z,0.064,2021-05-22T10:00:00Z,NA,NA,NA,NA,0.067,0.064,0.061,0.057,0.05,0.043,0.035,"BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK",BELLEVUE STATE PARK,Delaware,New Castle,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-08-30
