Latitude,Longitude,Arithmetic Mean,Parameter Name
39.739444,-75.558056,9.337774,Nitrogen dioxide (NO2)
39.371679,-76.746814,14.321032,Nitrogen dioxide (NO2)
39.310833,-76.474444,8.929007,Nitrogen dioxide (NO2)
39.70595,-79.012,1.889317,Nitrogen dioxide (NO2)
39.14313,-76.84611,15.767805,Nitrogen dioxide (NO2)
39.055277,-76.878333,6.267273,Nitrogen dioxide (NO2)
39.297733,-76.604603,12.397046,Nitrogen dioxide (NO2)
40.85355,-73.96618,15.439556,Nitrogen dioxide (NO2)
39.934559,-75.125219,11.407667,Nitrogen dioxide (NO2)
39.422273,-75.025204,6.304367,Nitrogen dioxide (NO2)
40.720989,-74.192892,14.400035,Nitrogen dioxide (NO2)
40.67025,-74.126081,15.009487,Nitrogen dioxide (NO2)
40.731645,-74.066308,16.718204,Nitrogen dioxide (NO2)
40.462182,-74.429439,8.185153,Nitrogen dioxide (NO2)
40.787628,-74.676301,3.056114,Nitrogen dioxide (NO2)
40.64144,-74.208365,19.212069,Nitrogen dioxide (NO2)
40.92458,-75.067815,10.140659,Nitrogen dioxide (NO2)
40.816,-73.902,15.206163,Nitrogen dioxide (NO2)
40.8679,-73.87809,12.63877,Nitrogen dioxide (NO2)
42.876907,-78.809526,8.243367,Nitrogen dioxide (NO2)
42.921107,-78.765825,9.469881,Nitrogen dioxide (NO2)
43.145013,-77.55728,6.523997,Nitrogen dioxide (NO2)
40.73614,-73.82153,13.020318,Nitrogen dioxide (NO2)
40.739264,-73.817694,14.946985,Nitrogen dioxide (NO2)
40.961017,-73.139046,3.413007,Nitrogen dioxide (NO2)
39.92002,-77.30968,2.111672,Nitrogen dioxide (NO2)
40.617488,-79.727664,5.059528,Nitrogen dioxide (NO2)
40.43743,-79.863572,9.680972,Nitrogen dioxide (NO2)
40.747796,-80.316442,7.883596,Nitrogen dioxide (NO2)
41.705226,-76.512726,2.70065,Nitrogen dioxide (NO2)
40.309722,-78.915,5.769854,Nitrogen dioxide (NO2)
40.811389,-77.877028,3.412306,Nitrogen dioxide (NO2)
39.835556,-75.3725,9.486446,Nitrogen dioxide (NO2)
42.14175,-80.038611,5.394353,Nitrogen dioxide (NO2)
39.917663,-79.805499,2.98688,Nitrogen dioxide (NO2)
41.442778,-75.623056,9.336007,Nitrogen dioxide (NO2)
40.628056,-75.341111,8.417769,Nitrogen dioxide (NO2)
39.991389,-75.080833,11.387503,Nitrogen dioxide (NO2)
40.054171,-74.985166,14.361759,Nitrogen dioxide (NO2)
39.988842,-75.207205,11.933038,Nitrogen dioxide (NO2)
41.644722,-76.939167,1.043199,Nitrogen dioxide (NO2)
40.146667,-79.902222,6.626281,Nitrogen dioxide (NO2)
40.268963,-80.243995,2.792018,Nitrogen dioxide (NO2)
39.965278,-76.699444,8.231472,Nitrogen dioxide (NO2)
