Latitude,Longitude,Arithmetic Mean,Parameter Name
38.986672,-75.5568,0.043186,Ozone
39.5513,-75.732,0.042299,Ozone
39.817222,-75.563889,0.042168,Ozone
39.773889,-75.496389,0.042167,Ozone
39.739444,-75.558056,0.03852,Ozone
38.6539,-75.6106,0.041489,Ozone
38.7791,-75.16323,0.040323,Ozone
39.169533,-76.627933,0.042638,Ozone
39.460478,-76.633543,0.045202,Ozone
39.310833,-76.474444,0.046406,Ozone
38.536722,-76.617194,0.041824,Ozone
39.444294,-77.042252,0.043539,Ozone
39.702982,-75.864771,0.045558,Ozone
38.508547,-76.811864,0.041217,Ozone
38.587525,-76.141006,0.043955,Ozone
38.444971,-76.111274,0.044227,Ozone
39.42276,-77.37519,0.044012,Ozone
39.70595,-79.012,0.039507,Ozone
39.410191,-76.296946,0.044493,Ozone
39.563333,-76.203889,0.046849,Ozone
39.305021000000004,-75.797317,0.044403,Ozone
39.114313,-77.106876,0.04322,Ozone
39.055277,-76.878333,0.037742,Ozone
38.81194,-76.74417,0.043703,Ozone
39.0284,-76.8171,0.044784,Ozone
39.564178,-77.720244,0.043903,Ozone
39.328807,-76.553075,0.043924,Ozone
39.464872,-74.448736,0.039801,Ozone
40.870436,-73.991994,0.038831,Ozone
39.934559,-75.125219,0.042053,Ozone
39.68425,-74.861491,0.039786,Ozone
39.422273,-75.025204,0.041962,Ozone
40.720989,-74.192892,0.034348,Ozone
39.800339,-75.212119,0.041844,Ozone
40.67025,-74.126081,0.039391,Ozone
40.515262,-74.806671,0.041016,Ozone
40.283092,-74.742613,0.043686,Ozone
40.3125,-74.8729,0.041818,Ozone
40.462182,-74.429439,0.041475,Ozone
40.277647,-74.0051,0.04076,Ozone
40.787628,-74.676301,0.040752,Ozone
40.06483,-74.44405,0.042261,Ozone
41.058617,-74.255544,0.03863,Ozone
40.92458,-75.067815,0.035441,Ozone
42.68075,-73.75733,0.037154,Ozone
40.816,-73.902,0.03929,Ozone
40.8679,-73.87809,0.041013,Ozone
42.49963,-79.31881,0.042718,Ozone
41.78555,-73.74136,0.038257,Ozone
42.99328,-78.77153,0.041706,Ozone
44.36608,-73.90312,0.043888,Ozone
44.39308,-73.8589,0.038512,Ozone
43.9731,-74.2232,0.032845,Ozone
43.44957,-74.51625,0.037611,Ozone
44.08747,-75.97316,0.037264,Ozone
43.14618,-77.54817,0.036439,Ozone
40.81976,-73.94825,0.040112,Ozone
43.22386,-78.47888,0.039403,Ozone
43.05235,-76.05921,0.038361,Ozone
41.52375,-74.21534,0.037157,Ozone
43.28428,-76.46324,0.038264,Ozone
41.45589,-73.70977,0.039597,Ozone
40.73614,-73.82153,0.037507,Ozone
40.58027,-74.19832,0.041339,Ozone
41.18208,-74.02819,0.038481,Ozone
43.01209,-73.6489,0.036277,Ozone
42.09142,-77.20978,0.036907,Ozone
40.74529,-73.41919,0.043207,Ozone
40.96078,-72.71238,0.042639,Ozone
40.82799,-73.05754,0.040751,Ozone
40.961017,-73.139046,0.04259,Ozone
42.4006,-76.6538,0.040646,Ozone
43.23086,-77.17136,0.039139,Ozone
41.05192,-73.76366,0.041245,Ozone
39.92002,-77.30968,0.039823,Ozone
39.9231,-77.3078,0.04334,Ozone
40.46542,-79.960757,0.037201,Ozone
40.375644,-80.169943,0.045041,Ozone
40.617488,-79.727664,0.042393,Ozone
40.814183,-79.56475,0.043689,Ozone
40.56252,-80.503948,0.041762,Ozone
40.684722,-80.359722,0.042271,Ozone
40.747796,-80.316442,0.042318,Ozone
40.51408,-75.789721,0.039865,Ozone
40.38335,-75.9686,0.044883,Ozone
40.535278,-78.370833,0.040236,Ozone
41.705226,-76.512726,0.037534,Ozone
40.107222,-74.882222,0.043588,Ozone
40.309722,-78.915,0.041583,Ozone
40.811389,-77.877028,0.036491,Ozone
40.7208,-77.9319,0.042,Ozone
39.834461,-75.768242,0.041535,Ozone
41.1175,-78.526194,0.037348,Ozone
40.246992,-76.846988,0.039097,Ozone
40.272222,-76.681389,0.03629,Ozone
39.835556,-75.3725,0.042547,Ozone
41.598119,-78.767867,0.039916,Ozone
42.14175,-80.038611,0.038512,Ozone
39.917663,-79.805499,0.039474,Ozone
39.961111,-77.475556,0.039969,Ozone
39.80933,-80.26567,0.04253,Ozone
40.56333,-78.919972,0.041746,Ozone
41.479116,-75.578186,0.039568,Ozone
41.442778,-75.623056,0.036004,Ozone
40.046667,-76.283333,0.043104,Ozone
40.043833,-76.1124,0.040124,Ozone
40.995848,-80.346442,0.037954,Ozone
40.338516,-76.394788,0.040339,Ozone
40.611944,-75.4325,0.038559,Ozone
41.265556,-75.846389,0.040572,Ozone
41.2508,-76.9238,0.038048,Ozone
41.215014,-80.484779,0.041826,Ozone
41.4271,-80.1451,0.041764,Ozone
41.08306,-75.32328,0.040876,Ozone
40.112222,-75.309167,0.043558,Ozone
40.628056,-75.341111,0.043068,Ozone
40.008889,-75.09778,0.039395,Ozone
40.076389,-75.011944,0.044088,Ozone
39.991389,-75.080833,0.037143,Ozone
39.9878,-79.2515,0.04029,Ozone
41.644722,-76.939167,0.039052,Ozone
40.146667,-79.902222,0.043281,Ozone
40.445278,-80.420833,0.037079,Ozone
40.268963,-80.243995,0.042628,Ozone
40.304694,-79.505667,0.031485,Ozone
39.965278,-76.699444,0.040418,Ozone
39.86097,-76.462055,0.041934,Ozone
