Latitude,Longitude,Arithmetic Mean,Parameter Name
38.986672,-75.5568,7.387465,PM2.5 - Local Conditions
39.155,-75.518056,5.461905,PM2.5 - Local Conditions
39.761111,-75.491944,6.740244,PM2.5 - Local Conditions
39.5513,-75.732,7.239326,PM2.5 - Local Conditions
39.57768,-75.6036,7.852976,PM2.5 - Local Conditions
39.691962,-75.761299,7.332727,PM2.5 - Local Conditions
39.739444,-75.558056,7.535484,PM2.5 - Local Conditions
38.6539,-75.6106,8.618687,PM2.5 - Local Conditions
39.460478,-76.633543,7.963333,PM2.5 - Local Conditions
39.310833,-76.474444,7.81,PM2.5 - Local Conditions
39.702982,-75.864771,8.119308,PM2.5 - Local Conditions
38.587525,-76.141006,6.402266,PM2.5 - Local Conditions
39.70595,-79.012,5.705747,PM2.5 - Local Conditions
39.410191,-76.296946,8.013043,PM2.5 - Local Conditions
39.14313,-76.84611,6.942254,PM2.5 - Local Conditions
39.305021000000004,-75.797317,5.534561,PM2.5 - Local Conditions
39.114313,-77.106876,7.252235,PM2.5 - Local Conditions
39.055277,-76.878333,6.68843,PM2.5 - Local Conditions
39.564178,-77.720244,8.021714,PM2.5 - Local Conditions
39.297733,-76.604603,7.65,PM2.5 - Local Conditions
39.464872,-74.448736,6.916102,PM2.5 - Local Conditions
39.36326,-74.431,8.488764,PM2.5 - Local Conditions
40.85355,-73.96618,8.345272,PM2.5 - Local Conditions
39.934559,-75.125219,10.330172,PM2.5 - Local Conditions
39.989036,-75.050008,8.513274,PM2.5 - Local Conditions
39.422273,-75.025204,6.884043,PM2.5 - Local Conditions
40.720989,-74.192892,8.676724,PM2.5 - Local Conditions
39.800339,-75.212119,7.717797,PM2.5 - Local Conditions
40.725413,-74.052293,8.914191,PM2.5 - Local Conditions
40.515262,-74.806671,7.784726,PM2.5 - Local Conditions
40.283092,-74.742613,8.676623,PM2.5 - Local Conditions
40.222411,-74.763167,8.990741,PM2.5 - Local Conditions
40.462182,-74.429439,7.891228,PM2.5 - Local Conditions
40.787628,-74.676301,6.306306,PM2.5 - Local Conditions
39.994908,-74.170447,7.615315,PM2.5 - Local Conditions
40.64144,-74.208365,9.689297,PM2.5 - Local Conditions
40.603943,-74.276174,7.547727,PM2.5 - Local Conditions
40.92458,-75.067815,8.861538,PM2.5 - Local Conditions
42.64225,-73.75464,6.099167,PM2.5 - Local Conditions
42.68075,-73.75733,5.466372,PM2.5 - Local Conditions
40.816,-73.902,7.52906,PM2.5 - Local Conditions
40.8679,-73.87809,7.109167,PM2.5 - Local Conditions
42.49963,-79.31881,6.65913,PM2.5 - Local Conditions
42.99328,-78.77153,6.774359,PM2.5 - Local Conditions
42.876907,-78.809526,7.4175,PM2.5 - Local Conditions
42.921107,-78.765825,7.612727,PM2.5 - Local Conditions
44.39308,-73.8589,3.717857,PM2.5 - Local Conditions
40.71961,-73.94771,7.637719,PM2.5 - Local Conditions
43.145013,-77.55728,7.178182,PM2.5 - Local Conditions
43.14618,-77.54817,6.431579,PM2.5 - Local Conditions
