POLY_ID,Latitude,Longitude,Arithmetic Mean,Parameter Name,CL
"1",38.986671999999999,-75.556799999999996,7.387465000000000,PM2.5 - Local Conditions,"1"
"2",39.155000000000001,-75.518056000000001,5.461905000000000,PM2.5 - Local Conditions,"1"
"3",39.761111000000000,-75.491944000000004,6.740244000000000,PM2.5 - Local Conditions,"1"
"4",39.551299999999998,-75.731999999999999,7.239326000000000,PM2.5 - Local Conditions,"1"
"5",39.577680000000001,-75.603600000000000,7.852976000000000,PM2.5 - Local Conditions,"1"
"6",39.691961999999997,-75.761298999999994,7.332727000000000,PM2.5 - Local Conditions,"1"
"7",39.739443999999999,-75.558055999999993,7.535484000000000,PM2.5 - Local Conditions,"1"
"8",38.653900000000000,-75.610600000000005,8.618687000000000,PM2.5 - Local Conditions,"1"
"9",39.460478000000002,-76.633543000000003,7.963333000000000,PM2.5 - Local Conditions,"1"
"10",39.310833000000002,-76.474444000000005,7.810000000000000,PM2.5 - Local Conditions,"1"
"11",39.702981999999999,-75.864771000000005,8.119308000000000,PM2.5 - Local Conditions,"1"
"12",38.587524999999999,-76.141006000000004,6.402266000000000,PM2.5 - Local Conditions,"1"
"13",39.705950000000001,-79.012000000000000,5.705747000000000,PM2.5 - Local Conditions,"3"
"14",39.410190999999998,-76.296946000000005,8.013043000000000,PM2.5 - Local Conditions,"1"
"15",39.143129999999999,-76.846109999999996,6.942254000000000,PM2.5 - Local Conditions,"1"
"16",39.305021000000004,-75.797317000000007,5.534561000000000,PM2.5 - Local Conditions,"1"
"17",39.114313000000003,-77.106876000000000,7.252235000000000,PM2.5 - Local Conditions,"1"
"18",39.055276999999997,-76.878332999999998,6.688430000000000,PM2.5 - Local Conditions,"1"
"19",39.564177999999998,-77.720243999999994,8.021713999999999,PM2.5 - Local Conditions,"5"
"20",39.297733000000001,-76.604602999999997,7.650000000000000,PM2.5 - Local Conditions,"1"
"21",39.464872000000000,-74.448735999999997,6.916102000000000,PM2.5 - Local Conditions,"1"
"22",39.363259999999997,-74.430999999999997,8.488764000000000,PM2.5 - Local Conditions,"1"
"23",40.853549999999998,-73.966179999999994,8.345272000000000,PM2.5 - Local Conditions,"1"
"24",39.934559000000000,-75.125219000000001,10.330171999999999,PM2.5 - Local Conditions,"4"
"25",39.989035999999999,-75.050008000000005,8.513273999999999,PM2.5 - Local Conditions,"4"
"26",39.422272999999997,-75.025204000000002,6.884043000000000,PM2.5 - Local Conditions,"1"
